DTE_bucket,N,MAE,mean_error,median_abs_error,RMSE,model
0-7,126,2.7788009919473455,-2.7774561566267235,1.3481322373577524,4.29759146239586,crr_hv_21d
8-30,503,8.704796076824135,-8.69019784925301,7.069534717751658,11.748157797414574,crr_hv_21d
31-90,2104,36.381860064148206,-36.378711780997065,32.182663938618546,46.83060378084441,crr_hv_21d
91+,15325,135.28060593268643,-106.94353095427265,113.94958077025635,168.88436646837772,crr_hv_21d
0-7,126,3.5261428022300425,-3.526142802230034,1.6499999999999013,5.377834856359308,crr_hv_63d
8-30,503,10.09726766955088,-10.09726766955088,8.435217370477474,13.042319731090465,crr_hv_63d
31-90,2104,35.392360591075395,-35.33304496255358,33.002428032124186,45.11453677007673,crr_hv_63d
91+,15325,121.03776244587361,-100.51459393359052,99.29642552949213,151.7210773532509,crr_hv_63d
0-7,126,1.8809937426719656,-1.5594427817775942,1.1759871884454842,2.7785541834873473,crr_garch
8-30,503,4.872983054074832,-2.8837217641751005,3.3449541437311625,6.915477225646711,crr_garch
31-90,2104,24.635994952964662,-24.250973846964698,19.721225819761393,34.160550925028545,crr_garch
91+,15325,122.53317121459065,-88.64008664047196,99.12248792399248,157.71389754496013,crr_garch
0-7,126,3.5765477640803716,-3.5765477640803716,1.852901082569097,5.40211064161406,black76_hv_63d
8-30,503,10.415953316876461,-10.415953316876461,8.673231569253705,13.221263451764674,black76_hv_63d
31-90,2104,37.56716755066868,-37.51386051415564,34.17284746320392,46.33919696250221,black76_hv_63d
91+,15325,178.4856538188369,-170.05392811936355,135.95699029255533,229.08654690104532,black76_hv_63d
